"","landscape","site","year","uniqueID","spring.start","spring.end","spring.gap.start","spring.gap.end","spring.exposure","summer.start","summer.end","summer.gap.start","summer.gap.end","summer.exposure","total.exposure","honey.bee.abund"
"197","FBG","FBG07",2012,"FBG072012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,27
"198","FBG","FBG08",2012,"FBG082012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,8
"199","FBG","FBG09",2012,"FBG092012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,11
"200","FBG","FBG10",2012,"FBG102012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,15
"201","FBG","FBG11",2012,"FBG112012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,13
"202","FBG","FBG12",2012,"FBG122012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-08-28,NA,NA,28,70,5
"203","FBG","FBG13",2012,"FBG132012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,37
"204","FBG","FBG14",2012,"FBG142012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,29
"205","FBG","FBG15",2012,"FBG152012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,10
"206","FBG","FBG16",2012,"FBG162012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,15
"207","GFH","GFH01",2012,"GFH012012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,5
"208","GFH","GFH02",2012,"GFH022012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,7
"209","GFH","GFH03",2012,"GFH032012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,29
"210","GFH","GFH04",2012,"GFH042012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,15
"211","GFH","GFH05",2012,"GFH052012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,7
"212","GFH","GFH06",2012,"GFH062012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,4
"213","GFH","GFH07",2012,"GFH072012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,22
"214","GFH","GFH08",2012,"GFH082012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,56
"215","GFH","GFH09",2012,"GFH092012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,15
"216","GFH","GFH10",2012,"GFH102012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,5
"217","GFH","GFH11",2012,"GFH112012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,47
"218","GFH","GFH12",2012,"GFH122012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,26
"219","GFH","GFH13",2012,"GFH132012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-08-30,NA,NA,28,70,19
"220","GFH","GFH14",2012,"GFH142012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,18
"221","GFH","GFH15",2012,"GFH152012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-08-30,NA,NA,28,70,45
"222","GFH","GFH16",2012,"GFH162012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,29
"223","HAR","HAR01",2012,"HAR012012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,4
"224","HAR","HAR02",2012,"HAR022012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-29,2012-09-12,NA,NA,14,56,4
"225","HAR","HAR03",2012,"HAR032012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,3
"226","HAR","HAR04",2012,"HAR042012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-08-15,NA,NA,14,56,8
"227","HAR","HAR05",2012,"HAR052012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,2012-08-15,2012-08-29,28,70,31
"228","HAR","HAR06",2012,"HAR062012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,19
"229","HAR","HAR07",2012,"HAR072012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,26
"230","HAR","HAR08",2012,"HAR082012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-15,2012-09-12,NA,NA,28,70,8
"231","HAR","HAR09",2012,"HAR092012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,6
"232","HAR","HAR10",2012,"HAR102012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,86
"233","HAR","HAR11",2012,"HAR112012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,244
"234","HAR","HAR12",2012,"HAR122012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,35
"235","HAR","HAR13",2012,"HAR132012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-15,2012-09-12,NA,NA,28,70,24
"236","HAR","HAR14",2012,"HAR142012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,20
"237","HAR","HAR15",2012,"HAR152012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,40
"238","HAR","HAR16",2012,"HAR162012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-08-29,NA,NA,28,70,95
"239","SIP","SIP01",2012,"SIP012012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-08-30,NA,NA,28,70,0
"240","SIP","SIP02",2012,"SIP022012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,0
"241","SIP","SIP03",2012,"SIP032012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,2
"242","SIP","SIP05",2012,"SIP052012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,2
"243","SIP","SIP06",2012,"SIP062012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-16,2012-09-13,NA,NA,28,70,2
"244","SIP","SIP07",2012,"SIP072012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,12
"245","SIP","SIP08",2012,"SIP082012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,2012-08-16,2012-08-30,28,70,5
"246","SIP","SIP09",2012,"SIP092012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,0
"247","SIP","SIP10",2012,"SIP102012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-08-16,NA,NA,14,56,11
"248","SIP","SIP11",2012,"SIP112012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,12
"249","SIP","SIP12",2012,"SIP122012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-08-30,NA,NA,28,70,17
"250","SIP","SIP13",2012,"SIP132012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-08-30,NA,NA,28,70,1
"251","SIP","SIP14",2012,"SIP142012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,0
"252","SIP","SIP15",2012,"SIP152012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,0
"253","SIP","SIP16",2012,"SIP162012",2012-05-04,2012-06-14,2012-05-17,2012-05-16,42,2012-08-02,2012-09-13,NA,NA,42,84,5
"254","SST","SST01",2012,"SST012012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,5
"255","SST","SST02",2012,"SST022012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,1
"256","SST","SST03",2012,"SST032012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,8
"257","SST","SST04",2012,"SST042012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,18
"258","SST","SST05",2012,"SST052012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,4
"259","SST","SST06",2012,"SST062012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,1
"260","SST","SST07",2012,"SST072012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,1
"261","SST","SST08",2012,"SST082012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,12
"262","SST","SST09",2012,"SST092012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,3
"263","SST","SST10",2012,"SST102012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,2012-08-14,2012-08-28,28,70,6
"264","SST","SST11",2012,"SST112012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,1
"265","SST","SST12",2012,"SST122012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,11
"266","SST","SST13",2012,"SST132012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,4
"267","SST","SST14",2012,"SST142012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,1
"268","SST","SST15",2012,"SST152012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,2012-08-14,2012-08-28,28,70,0
"269","SST","SST16",2012,"SST162012",2012-05-02,2012-06-12,2012-05-15,2012-05-14,42,2012-07-31,2012-09-11,NA,NA,42,84,2
"270","WAN","WAN01",2012,"WAN012012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,26
"271","WAN","WAN02",2012,"WAN022012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,3
"272","WAN","WAN03",2012,"WAN032012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,6
"273","WAN","WAN04",2012,"WAN042012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,4
"274","WAN","WAN05",2012,"WAN052012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,2012-08-15,2012-08-29,28,70,2
"275","WAN","WAN06",2012,"WAN062012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-15,2012-09-12,NA,NA,28,70,10
"276","WAN","WAN07",2012,"WAN072012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,3
"277","WAN","WAN08",2012,"WAN082012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-15,2012-08-29,NA,NA,14,56,3
"278","WAN","WAN09",2012,"WAN092012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,16
"279","WAN","WAN10",2012,"WAN102012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,14
"280","WAN","WAN11",2012,"WAN112012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-08-29,NA,NA,28,70,1
"281","WAN","WAN12",2012,"WAN122012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,2012-08-15,2012-08-29,28,70,15
"282","WAN","WAN13",2012,"WAN132012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-08-29,NA,NA,28,70,244
"283","WAN","WAN14",2012,"WAN142012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-08-29,NA,NA,28,70,64
"284","WAN","WAN15",2012,"WAN152012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,NA,NA,42,84,8
"285","WAN","WAN16",2012,"WAN162012",2012-05-03,2012-06-13,2012-05-16,2012-05-15,42,2012-08-01,2012-09-12,2012-08-15,2012-08-29,28,70,6
"286","FBG","FBG01",2013,"FBG012013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,10
"287","FBG","FBG02",2013,"FBG022013",2013-04-29,2013-06-10,NA,NA,42,2013-08-19,2013-09-16,NA,NA,28,70,16
"288","FBG","FBG03",2013,"FBG032013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,4
"289","FBG","FBG04",2013,"FBG042013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,1
"290","FBG","FBG05",2013,"FBG052013",2013-04-29,2013-06-10,2013-05-13,2013-05-27,28,NA,NA,NA,NA,NA,NA,1
"291","FBG","FBG06",2013,"FBG062013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,6
"292","FBG","FBG07",2013,"FBG072013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,5
"293","FBG","FBG08",2013,"FBG082013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,2
"294","FBG","FBG09",2013,"FBG092013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,8
"295","FBG","FBG10",2013,"FBG102013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,9
"296","FBG","FBG11",2013,"FBG112013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,8
"297","FBG","FBG12",2013,"FBG122013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,8
"298","FBG","FBG13",2013,"FBG132013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,17
"299","FBG","FBG14",2013,"FBG142013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,18
"300","FBG","FBG15",2013,"FBG152013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,6
"301","FBG","FBG16",2013,"FBG162013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,2013-08-19,2013-09-02,28,70,5
"302","GFH","GFH01",2013,"GFH012013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-04,NA,NA,28,70,2
"303","GFH","GFH02",2013,"GFH022013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,6
"304","GFH","GFH03",2013,"GFH032013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,14
"305","GFH","GFH04",2013,"GFH042013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,3
"306","GFH","GFH05",2013,"GFH052013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-04,NA,NA,28,70,8
"307","GFH","GFH06",2013,"GFH062013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,2013-08-21,2013-09-04,28,70,0
"308","GFH","GFH07",2013,"GFH072013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,6
"309","GFH","GFH08",2013,"GFH082013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,23
"310","GFH","GFH09",2013,"GFH092013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,2013-08-21,2013-09-04,28,70,9
"311","GFH","GFH10",2013,"GFH102013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,11
"312","GFH","GFH11",2013,"GFH112013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,26
"313","GFH","GFH12",2013,"GFH122013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,52
"314","GFH","GFH13",2013,"GFH132013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,48
"315","GFH","GFH14",2013,"GFH142013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,9
"316","GFH","GFH15",2013,"GFH152013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,102
"317","GFH","GFH16",2013,"GFH162013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,39
"318","HAR","HAR01",2013,"HAR012013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,0
"319","HAR","HAR02",2013,"HAR022013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,2
"320","HAR","HAR03",2013,"HAR032013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,4
"321","HAR","HAR04",2013,"HAR042013",2013-04-30,2013-06-11,NA,NA,42,2013-08-20,2013-09-03,NA,NA,14,56,0
"322","HAR","HAR05",2013,"HAR052013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,5
"323","HAR","HAR06",2013,"HAR062013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-03,NA,NA,28,70,4
"324","HAR","HAR07",2013,"HAR072013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-03,NA,NA,28,70,0
"325","HAR","HAR08",2013,"HAR082013",2013-04-30,2013-06-11,NA,NA,42,2013-08-20,2013-09-03,NA,NA,14,56,2
"326","HAR","HAR09",2013,"HAR092013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,5
"327","HAR","HAR10",2013,"HAR102013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,8
"328","HAR","HAR11",2013,"HAR112013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,2013-08-20,2013-09-03,28,70,1
"329","HAR","HAR12",2013,"HAR122013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,8
"330","HAR","HAR13",2013,"HAR132013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,1
"331","HAR","HAR14",2013,"HAR142013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,6
"332","HAR","HAR15",2013,"HAR152013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,26
"333","HAR","HAR16",2013,"HAR162013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-03,NA,NA,28,70,2
"334","SIP","SIP01",2013,"SIP012013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,3
"335","SIP","SIP02",2013,"SIP022013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,0
"336","SIP","SIP03",2013,"SIP032013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,0
"337","SIP","SIP05",2013,"SIP052013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-04,NA,NA,28,70,1
"338","SIP","SIP06",2013,"SIP062013",2013-05-02,2013-06-13,2013-05-16,2013-06-03,24,2013-08-07,2013-09-18,NA,NA,42,66,2
"339","SIP","SIP07",2013,"SIP072013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,2013-08-21,2013-09-04,28,70,2
"340","SIP","SIP08",2013,"SIP082013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,0
"341","SIP","SIP09",2013,"SIP092013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,0
"342","SIP","SIP10",2013,"SIP102013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,2
"343","SIP","SIP11",2013,"SIP112013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-04,NA,NA,28,70,2
"344","SIP","SIP12",2013,"SIP122013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,2
"345","SIP","SIP13",2013,"SIP132013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-04,NA,NA,28,70,1
"346","SIP","SIP14",2013,"SIP142013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,2013-08-21,2013-09-04,28,70,0
"347","SIP","SIP15",2013,"SIP152013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,4
"348","SIP","SIP16",2013,"SIP162013",2013-05-02,2013-06-13,NA,NA,42,2013-08-07,2013-09-18,NA,NA,42,84,0
"349","SST","SST01",2013,"SST012013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,0
"350","SST","SST02",2013,"SST022013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,1
"351","SST","SST03",2013,"SST032013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,7
"352","SST","SST04",2013,"SST042013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,29
"353","SST","SST05",2013,"SST052013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,0
"354","SST","SST06",2013,"SST062013",2013-04-29,2013-06-10,NA,NA,42,2013-08-19,2013-09-02,NA,NA,14,56,0
"355","SST","SST07",2013,"SST072013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-08-19,NA,NA,14,56,0
"356","SST","SST08",2013,"SST082013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,2
"357","SST","SST09",2013,"SST092013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-08-19,NA,NA,14,56,0
"358","SST","SST10",2013,"SST102013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,4
"359","SST","SST11",2013,"SST112013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,1
"360","SST","SST12",2013,"SST122013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,3
"361","SST","SST13",2013,"SST132013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,3
"362","SST","SST14",2013,"SST142013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,1
"363","SST","SST15",2013,"SST152013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-16,NA,NA,42,84,1
"364","SST","SST16",2013,"SST162013",2013-04-29,2013-06-10,NA,NA,42,2013-08-05,2013-09-02,NA,NA,28,70,0
"365","WAN","WAN01",2013,"WAN012013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,16
"366","WAN","WAN02",2013,"WAN022013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,4
"367","WAN","WAN03",2013,"WAN032013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-03,NA,NA,28,70,3
"368","WAN","WAN04",2013,"WAN042013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-03,NA,NA,28,70,3
"369","WAN","WAN05",2013,"WAN052013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,2013-08-20,2013-09-03,28,70,3
"370","WAN","WAN06",2013,"WAN062013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,8
"371","WAN","WAN07",2013,"WAN072013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,14
"372","WAN","WAN08",2013,"WAN082013",2013-04-30,2013-06-11,NA,NA,42,NA,NA,NA,NA,NA,NA,0
"373","WAN","WAN09",2013,"WAN092013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-03,NA,NA,28,70,88
"374","WAN","WAN10",2013,"WAN102013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,46
"375","WAN","WAN11",2013,"WAN112013",2013-04-30,2013-05-28,NA,NA,28,2013-08-20,2013-09-03,NA,NA,14,42,2
"376","WAN","WAN12",2013,"WAN122013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,11
"377","WAN","WAN13",2013,"WAN132013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,331
"378","WAN","WAN14",2013,"WAN142013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-17,NA,NA,42,84,53
"379","WAN","WAN15",2013,"WAN152013",2013-04-30,2013-06-11,NA,NA,42,2013-08-06,2013-09-03,NA,NA,28,70,4
"380","WAN","WAN16",2013,"WAN162013",2013-04-30,2013-06-11,NA,NA,42,2013-08-20,2013-09-03,NA,NA,14,56,1
"381","FBG","FBG01",2014,"FBG012014",2014-04-14,2014-05-26,NA,NA,42,2014-07-14,2014-08-26,NA,NA,43,85,6
"382","FBG","FBG02",2014,"FBG022014",2014-04-14,2014-05-26,NA,NA,42,2014-07-14,2014-08-26,NA,NA,43,85,20
"383","FBG","FBG03",2014,"FBG032014",2014-04-14,2014-05-26,NA,NA,42,2014-07-14,2014-08-26,2014-07-28,2014-08-13,27,69,2
"384","FBG","FBG04",2014,"FBG042014",2014-04-14,2014-05-26,NA,NA,42,2014-07-14,2014-08-26,NA,NA,43,85,6
